y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.51633334,0.20416667,1.0,-0.17633334,0
0.521,0.23333333,1.0,-0.181,0
0.52625,0.2625,1.0,-0.18625,0
0.53208333,0.29166666,1.0,-0.19208333,0
0.5385,0.32083333,1.0,-0.1985,0
0.5455,0.35,1.0,-0.2055,0
0.55308336,0.37916666,1.0,-0.21308333,0
0.56125,0.40833333,1.0,-0.22125,0
0.57,0.4375,1.0,-0.23,0
0.5793333,0.46666667,1.0,-0.23933333,0
0.58925,0.49583334,0.9975,-0.24925,0
0.59975,0.525,0.99,-0.25975,1
0.5886667,-0.5541667,0.9825,-0.24866667,0
0.57816666,-0.525,0.975,-0.23816666,0
0.56825,-0.49583334,0.9675,-0.22825,0
0.5589167,-0.46666667,0.96,-0.21891667,0
0.55016667,-0.4375,0.9525,-0.21016666,0
0.542,-0.40833333,0.945,-0.202,0
0.5344167,-0.37916666,0.9375,-0.19441667,0
0.52741665,-0.35,0.93,-0.18741667,0
0.521,-0.32083333,0.9225,-0.181,0
0.51516664,-0.29166666,0.915,-0.17516667,0
0.50991666,-0.2625,0.9075,-0.16991666,0
0.50525,-0.23333333,0.9,-0.16525,0
0.50116664,-0.20416667,0.8925,-0.16116667,0
0.49766666,-0.175,0.885,-0.15766667,0
0.49475,-0.14583333,0.8775,-0.15475,0
0.49241668,-0.11666667,0.87,-0.15241666,0
0.49066666,-0.0875,0.8625,-0.15066667,0
0.4895,-0.058333334,0.855,-0.1495,0
0.48891667,-0.029166667,0.8475,-0.14891666,0
0.48891667,-1.7578532e-16,0.84,-0.14891666,0
0.4895,0.029166667,0.8325,-0.1495,0
0.49066666,0.058333334,0.825,-0.15066667,0
0.49241668,0.0875,0.8175,-0.15241666,0
0.49475,0.11666667,0.81,-0.15475,0
0.49766666,0.14583333,0.8025,-0.15766667,0
0.50116664,0.175,0.795,-0.16116667,0
0.50525,0.20416667,0.7875,-0.16525,0
0.50991666,0.23333333,0.78,-0.16991666,0
0.51516664,0.2625,0.7725,-0.17516667,0
0.521,0.29166666,0.765,-0.181,0
0.52741665,0.32083333,0.7575,-0.18741667,0
0.5344167,0.35,0.75,-0.19441667,0
0.542,0.37916666,0.7425,-0.202,0
0.55016667,0.40833333,0.735,-0.21016666,0
0.5589167,0.4375,0.7275,-0.21891667,0
0.56825,0.46666667,0.72,-0.22825,0
0.57816666,0.49583334,0.7125,-0.23816666,0
0.5886667,0.525,0.705,-0.24866667,1
0.5775833,-0.5541667,0.6975,-0.23758334,0
0.56708336,-0.525,0.69,-0.22708334,0
0.5571667,-0.49583334,0.6825,-0.21716666,0
0.5478333,-0.46666667,0.675,-0.20783333,0
0.53908336,-0.4375,0.6675,-0.19908333,0
0.5309167,-0.40833333,0.66,-0.19091667,0
0.5233333,-0.37916666,0.6525,-0.18333334,0
0.51633334,-0.35,0.645,-0.17633334,0
0.50991666,-0.32083333,0.6375,-0.16991666,0
0.50408334,-0.29166666,0.63,-0.16408333,0
0.49883333,-0.2625,0.6225,-0.15883334,0
0.49416667,-0.23333333,0.615,-0.15416667,0
0.49008334,-0.20416667,0.6075,-0.15008333,0
0.48658332,-0.175,0.6,-0.14658333,0
0.48366666,-0.14583333,0.5925,-0.14366667,0
0.48133335,-0.11666667,0.585,-0.14133333,0
0.47958332,-0.0875,0.5775,-0.13958333,0
0.47841668,-0.058333334,0.57,-0.13841666,0
0.47783333,-0.029166667,0.5625,-0.13783333,0
0.47783333,-1.7578532e-16,0.555,-0.13783333,0
0.47841668,0.029166667,0.5475,-0.13841666,0
