y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.45683333,-0.20416667,0.3025,-0.0985,0
0.45333335,-0.175,0.295,-0.095,0
0.45041665,-0.14583333,0.2875,-0.092083335,0
0.44808334,-0.11666667,0.28,-0.08975,1
0.437,-0.5541667,0.2725,-0.078666665,1
0.42591667,-0.5541667,0.265,-0.06758333,1
0.41483334,-0.5541667,0.2575,-0.0565,1
0.40375,-0.5541667,0.25,-0.045416668,1
0.39266667,-0.5541667,0.2425,-0.034333333,1
0.38158333,-0.5541667,0.235,-0.02325,1
0.3705,-0.5541667,0.2275,-0.012166667,1
0.35941666,-0.5541667,0.22,-0.0010833333,1
0.34833333,-0.5541667,0.2125,0.01,1
0.33725,-0.5541667,0.205,0.021083333,1
0.32616666,-0.5541667,0.1975,0.032166667,1
0.31508332,-0.5541667,0.19,0.04325,1
0.304,-0.5541667,0.1825,0.054333333,1
0.29291666,-0.5541667,0.175,0.065416664,1
0.28183332,-0.5541667,0.1675,0.0765,1
0.27075,-0.5541667,0.16,0.08758333,1
0.25966668,-0.5541667,0.1525,0.09866667,1
0.24858333,-0.5541667,0.145,0.10975,1
0.2375,-0.5541667,0.1375,0.12083333,1
0.22641666,-0.5541667,0.13,0.13191667,1
0.21533333,-0.5541667,0.1225,0.143,1
0.20425,-0.5541667,0.115,0.15408333,1
0.19316667,-0.5541667,0.1075,0.16516666,1
0.18208334,-0.5541667,0.1,0.17625,1
0.171,-0.5541667,0.0925,0.18733333,1
0.15991667,-0.5541667,0.085,0.19841667,1
0.14883333,-0.5541667,0.0775,0.2095,1
0.13775,-0.5541667,0.07,0.22058333,1
0.12666667,-0.5541667,0.0625,0.23166667,1
0.11558333,-0.5541667,0.055,0.24275,1
0.1045,-0.5541667,0.0475,0.25383332,1
0.09341667,-0.5541667,0.04,0.26491666,1
0.082333334,-0.5541667,0.0325,0.276,1
0.07125,-0.5541667,0.025,0.28708333,1
0.06016667,-0.5541667,0.0175,0.29816666,1
0.049083333,-0.5541667,0.01,0.30925,1
0.5,0.0,1.0,-0.23166667,0
0.50058335,0.029166667,1.0,-0.23225,0
0.50175,0.058333334,1.0,-0.23341666,0
0.5035,0.0875,1.0,-0.23516667,0
0.5058333,0.11666667,1.0,-0.2375,0
0.50875,0.14583333,1.0,-0.24041666,0
0.51225,0.175,1.0,-0.24391666,0
0.51633334,0.20416667,1.0,-0.248,0
0.521,0.23333333,1.0,-0.25266665,0
0.52625,0.2625,1.0,-0.25791666,0
0.53208333,0.29166666,1.0,-0.26375,0
0.5385,0.32083333,1.0,-0.27016667,0
0.5455,0.35,1.0,-0.27716666,0
0.55308336,0.37916666,1.0,-0.28475,0
0.56125,0.40833333,1.0,-0.29291666,0
0.57,0.4375,1.0,-0.30166668,0
0.5793333,0.46666667,1.0,-0.311,0
0.58925,0.49583334,0.9975,-0.32091665,0
0.59975,0.525,0.99,-0.33141667,1
0.5886667,-0.5541667,0.9825,-0.32033333,0
0.57816666,-0.525,0.975,-0.30983335,0
0.56825,-0.49583334,0.9675,-0.29991665,0
0.5589167,-0.46666667,0.96,-0.29058334,0
0.55016667,-0.4375,0.9525,-0.28183332,0
0.542,-0.40833333,0.945,-0.27366668,0
0.5344167,-0.37916666,0.9375,-0.26608333,0
0.52741665,-0.35,0.93,-0.25908333,0
0.521,-0.32083333,0.9225,-0.25266665,0
0.51516664,-0.29166666,0.915,-0.24683334,0
0.50991666,-0.2625,0.9075,-0.24158333,0
0.50525,-0.23333333,0.9,-0.23691666,0
0.50116664,-0.20416667,0.8925,-0.23283334,0
0.49766666,-0.175,0.885,-0.22933333,0
0.49475,-0.14583333,0.8775,-0.22641666,0
0.49241668,-0.11666667,0.87,-0.22408333,0
0.49066666,-0.0875,0.8625,-0.22233333,0
0.4895,-0.058333334,0.855,-0.22116667,0
0.48891667,-0.029166667,0.8475,-0.22058333,0
0.48891667,-1.7578532e-16,0.84,-0.22058333,0
0.4895,0.029166667,0.8325,-0.22116667,0
0.49066666,0.058333334,0.825,-0.22233333,0
0.49241668,0.0875,0.8175,-0.22408333,0
0.49475,0.11666667,0.81,-0.22641666,0
0.49766666,0.14583333,0.8025,-0.22933333,0
0.50116664,0.175,0.795,-0.23283334,0
0.50525,0.20416667,0.7875,-0.23691666,0
0.50991666,0.23333333,0.78,-0.24158333,0
0.51516664,0.2625,0.7725,-0.24683334,0
0.521,0.29166666,0.765,-0.25266665,0
0.52741665,0.32083333,0.7575,-0.25908333,0
0.5344167,0.35,0.75,-0.26608333,0
0.542,0.37916666,0.7425,-0.27366668,0
0.55016667,0.40833333,0.735,-0.28183332,0
0.5589167,0.4375,0.7275,-0.29058334,0
0.56825,0.46666667,0.72,-0.29991665,0
0.57816666,0.49583334,0.7125,-0.30983335,0
0.5886667,0.525,0.705,-0.32033333,1
0.5775833,-0.5541667,0.6975,-0.30925,0
0.56708336,-0.525,0.69,-0.29875,0
0.5571667,-0.49583334,0.6825,-0.28883332,0
0.5478333,-0.46666667,0.675,-0.2795,0
0.53908336,-0.4375,0.6675,-0.27075,0
0.5309167,-0.40833333,0.66,-0.26258335,0
0.5233333,-0.37916666,0.6525,-0.255,0
0.51633334,-0.35,0.645,-0.248,0
0.50991666,-0.32083333,0.6375,-0.24158333,0
0.50408334,-0.29166666,0.63,-0.23575,0
